,catagory_name,sub_catagory_name,sum_bill_no
349,GIRLS,TOP SET,dummy/257/78
350,GIRLS,TOP SET,dummy/248/101
351,GIRLS,GIRLS SET,dummy/255/75
352,GIRLS,TOP SET,dummy/258/76
353,GIRLS,TOP SET,dummy/253/297
354,GIRLS,JEANS,dummy/252/425
355,GIRLS,GIRLS SET,dummy/256/256
356,PARDA,PARDA,dummy/246/82
357,PARDA,PARDA,dummy/209/494
358,PARDA,PARDA,dummy/216/203
359,PARDA,PARDA,dummy/235/9
360,MENS,LOWER,dummy/246/101
361,MENS,BERMUDA,dummy/231/68
362,MENS,BERMUDA,dummy/241/30
363,MENS,TROUSER,dummy/209/415
364,MENS,SHIRT,dummy/210/60
365,MENS,SHIRT,dummy/217/285
366,MENS,T-SHIRT,dummy/220/205
367,MENS,KURTA PYJAMA,dummy/229/68
368,MENS,T-SHIRT,dummy/230/251
369,MENS,JEANS,dummy/231/292
370,MENS,SHIRT,dummy/209/490
371,MENS,SHIRT,dummy/209/245
372,MENS,SHIRT,dummy/209/253
373,WOOLLEN,JACKET,dummy/230/17
374,MENS,SHIRT,dummy/239/22
375,MENS,SHIRT,dummy/209/32
376,MENS,JEANS,dummy/212/194
377,MENS,JEANS,dummy/212/194
378,MENS,ROLL BOX,dummy/230/60
379,MENS,SHIRT,dummy/231/316
380,MENS,SHIRT,dummy/233/168
381,MENS,SHIRT,dummy/235/26
382,MENS,JEANS,dummy/208/310
383,MENS,SHIRT,dummy/209/586
384,MENS,SHIRT,dummy/221/73
385,MENS,T-SHIRT,dummy/236/69
386,MENS,T-SHIRT,dummy/223/12
387,MENS,SHIRT,dummy/225/203
388,MENS,ROLL BOX,dummy/238/16
389,MENS,JEANS,dummy/208/319
390,MENS,JEANS,dummy/210/212
391,WOOLLEN,JACKET,dummy/222/208
392,WOOLLEN,JACKET,dummy/228/142
393,WOOLLEN,JACKET,dummy/231/397
394,PARDA,LATTA,dummy/215/36
395,MENS,ROLL BOX,dummy/242/15
396,MENS,SHIRT,dummy/209/398
397,WOOLLEN,JACKET,dummy/233/41
398,WOOLLEN,SWEAT SHIRT,dummy/247/12
399,WOOLLEN,JACKET,dummy/245/17
400,PARDA,PARDA,dummy/209/222
401,MENS,T-SHIRT,dummy/233/40
402,MENS,BERMUDA,dummy/238/290
403,MENS,KURTA PYJAMA,dummy/210/96
404,MENS,SHIRT,dummy/210/72
405,MENS,SHIRT,dummy/213/83
406,MENS,BERMUDA,dummy/213/91
407,MENS,BERMUDA,dummy/226/134
408,MENS,BERMUDA,dummy/209/527
409,MENS,T-SHIRT,dummy/221/213
410,MENS,TROUSER,dummy/225/31
411,MENS,ROLL BOX,dummy/242/10
412,WOOLLEN,JACKET,dummy/251/385
413,PARDA,PARDA,dummy/185/115
414,PARDA,PARDA,dummy/179/78
415,PARDA,PARDA,dummy/185/108
416,PARDA,PARDA,dummy/185/375
417,MENS,SHIRT,dummy/183/93
418,MENS,T-SHIRT,dummy/184/17
419,MENS,SHIRT,dummy/184/216
420,MENS,T-SHIRT,dummy/184/43
421,MENS,T-SHIRT,dummy/185/100
422,MENS,TRACK PANT,dummy/185/157
423,MENS,SHIRT,dummy/185/309
424,MENS,SHIRT,dummy/185/307
425,MENS,T-SHIRT,dummy/185/393
426,MENS,T-SHIRT,dummy/172/92
427,MENS,T-SHIRT,dummy/173/128
428,MENS,TRACK PANT,dummy/174/145
429,MENS,T-SHIRT,dummy/185/291
430,MENS,ROLL BOX,dummy/174/131
431,MENS,T-SHIRT,dummy/185/204
432,MENS,SHIRT,dummy/186/61
433,WOOLLEN,JACKET,dummy/249/43
434,WOOLLEN,SWEAT SHIRT,dummy/252/264
435,WOOLLEN,SWEAT SHIRT,dummy/258/91
436,PARDA,LATTA,dummy/258/77
437,PARDA,LATTA,dummy/258/97
438,MENS,TROUSER,dummy/248/75
439,MENS,SHIRT,dummy/248/108
440,MENS,SHIRT,dummy/248/73
441,MENS,SHIRT,dummy/249/46
442,MENS,KURTA SUIT,dummy/257/118
443,MENS,KURTA PYJAMA,dummy/252/276
444,MENS,TROUSER,dummy/253/228
445,MENS,JEANS,dummy/252/398
446,MENS,KURTA PYJAMA,dummy/255/268
447,MENS,KURTA PYJAMA,dummy/251/254
448,MENS,LOWER,dummy/256/80
449,MENS,JEANS,dummy/256/30
450,MENS,SHIRT,dummy/244/178
451,GIRLS,TOP SET,dummy/250/350
452,GIRLS,GIRLS SET,dummy/257/208
453,GIRLS,TOP SET,dummy/252/425
454,GIRLS,FROCK,dummy/173/80
455,SUITING,SUITING,dummy/249/72
456,SUITING,SUITING,dummy/251/243
457,SUITING,SUITING,dummy/246/62
458,PARDA PC,PARDA PC,dummy/256/83
459,BOYS,KURTA PYJAMA,dummy/250/291
460,BOYS,THERMAL,dummy/250/259
461,BOYS,PANT,dummy/255/139
462,BOYS,INDO-WESTERN,dummy/252/375
463,BOYS,COAT SUIT,dummy/255/102
464,BOYS,JEANS,dummy/252/238
465,BOYS,THERMAL,dummy/252/357
466,BOYS,T-SHIRT,dummy/172/57
467,BLANKET,BLANKET,dummy/254/40
468,BLANKET,BLANKET,dummy/255/180
469,BLANKET,BLANKET,dummy/256/228
470,BLANKET,BLANKET,dummy/254/144
471,BLANKET,BLANKET,dummy/255/221
472,BLANKET,BLANKET,dummy/245/278
473,UG,SOCK,dummy/254/22
474,UG,HANKEY,dummy/255/48
475,UG,SOCK,dummy/250/267
476,UG,HANKEY,dummy/257/227
477,UG,SOCK,dummy/252/386
478,WOOLLEN,CARDIGAN,dummy/223/264
479,MENS,LOWER,dummy/235/7
480,WOOLLEN,SWEAT SHIRT,dummy/232/44
481,WOOLLEN,JACKET,dummy/218/166
482,WOOLLEN,CARDIGAN,dummy/223/264
483,MENS,JACKET,dummy/245/342
484,MENS,T-SHIRT,dummy/254/191
485,MENS,T-SHIRT,dummy/249/101
486,MENS,TROUSER,dummy/249/46
487,MENS,LOWER,dummy/248/152
488,MENS,T-SHIRT,dummy/254/85
489,MENS,T-SHIRT,dummy/257/222
490,MENS,T-SHIRT,dummy/252/317
491,MENS,T-SHIRT,dummy/252/328
492,MENS,T-SHIRT,dummy/255/171
493,MENS,T-SHIRT,dummy/255/171
494,MENS,T-SHIRT,dummy/256/259
495,GIRLS,GIRLS SET,dummy/252/100
496,GIRLS,FROCK,dummy/257/34
497,SUITING,SUITING,dummy/248/21
498,SUITING,SUITING,dummy/250/291
499,SUITING,SUITING,dummy/253/155
500,SUITING,SUITING,dummy/252/433
501,PARDA PC,PARDA PC,dummy/257/106
502,PARDA PC,PARDA PC,dummy/249/10
503,PARDA PC,PARDA PC,dummy/251/206
504,BOYS,BABASUIT,dummy/254/176
505,BOYS,BERMUDA,dummy/249/174
506,BOYS,T-SHIRT,dummy/248/124
507,BOYS,JEANS,dummy/257/117
508,BOYS,BABASUIT,dummy/254/44
509,BOYS,T-SHIRT,dummy/252/335
510,BOYS,JEANS,dummy/257/21
511,TEENS,MIDI,dummy/251/171
512,BLANKET,BLANKET,dummy/250/161
513,BLANKET,BLANKET,dummy/248/195
514,UG,UG,dummy/253/33
515,UG,UG,dummy/250/155
516,UG,BRA/PANTY,dummy/254/174
517,UG,UG,dummy/250/171
518,WOOLLEN,TEENS JACKET,dummy/251/233
519,WOOLLEN,SWEATER,dummy/246/12
520,MENS,JEANS,dummy/252/356
521,MENS,T-SHIRT,dummy/251/237
522,MENS,BOW TIE,dummy/258/130
523,MENS,T-SHIRT,dummy/258/158
524,MENS,T-SHIRT,dummy/246/199
525,MENS,JEANS,dummy/246/32
526,MENS,JEANS,dummy/246/117
527,MENS,TROUSER,dummy/245/355
528,MENS,SHIRT,dummy/245/362
529,MENS,JEANS,dummy/234/55
530,MENS,JEANS,dummy/210/60
531,MENS,SHIRT,dummy/213/112
532,MENS,JEANS,dummy/236/72
533,MENS,SHIRT,dummy/240/140
534,MENS,JEANS,dummy/209/490
535,MENS,KURTA PYJAMA,dummy/219/138
536,MENS,CAPRI,dummy/231/290
537,MENS,SHIRT,dummy/239/215
538,MENS,SHIRT,dummy/208/281
539,WOOLLEN,SWEAT SHIRT,dummy/214/36
540,MENS,TROUSER,dummy/230/93
541,MENS,SHIRT,dummy/209/381
542,WOOLLEN,SWEAT SHIRT,dummy/215/159
543,MENS,JEANS,dummy/213/91
544,MENS,SHIRT,dummy/238/379
545,MENS,KURTA PYJAMA,dummy/220/75
546,MENS,T-SHIRT,dummy/229/1
547,MENS,SHIRT,dummy/245/126
548,MENS,JEANS,dummy/245/453
549,MENS,SHIRT,dummy/245/8
550,WOOLLEN,JACKET,dummy/252/128
551,WOOLLEN,SWEAT SHIRT,dummy/255/71
552,MENS,KURTA PYJAMA,dummy/185/385
553,MENS,CAPRI,dummy/172/94
554,MENS,SHIRT,dummy/186/37
555,MENS,SHIRT,dummy/255/107
556,MENS,SHIRT,dummy/248/208
557,MENS,SHIRT,dummy/249/134
558,MENS,SHIRT,dummy/256/36
559,MENS,T-SHIRT,dummy/253/200
560,MENS,JEANS,dummy/251/147
561,MENS,KURTA PYJAMA,dummy/254/79
562,GIRLS,GIRLS SET,dummy/175/162
563,GIRLS,TOP SET,dummy/186/198
564,GIRLS,GIRLS SET,dummy/186/152
565,GIRLS,BLAZER,dummy/250/352
566,GIRLS,LACHA,dummy/254/193
567,GIRLS,GIRLS SET,dummy/252/210
568,GIRLS,FROCK,dummy/248/74
569,GIRLS,GIRLS SET,dummy/257/70
570,GIRLS,GIRLS SET,dummy/255/22
571,SUITING,SUITING,dummy/253/66
572,BOYS,BABASUIT,dummy/175/131
573,BOYS,BABASUIT,dummy/185/351
574,BOYS,JEANS,dummy/186/194
575,BOYS,SHIRT,dummy/186/24
576,BOYS,BABASUIT,dummy/186/110
577,BOYS,SHIRT,dummy/186/131
578,BOYS,T-SHIRT,dummy/187/197
579,BOYS,SHIRT,dummy/187/38
580,BOYS,SHIRT,dummy/187/177
581,WOOLLEN,SWEAT SHIRT,dummy/252/504
582,WOOLLEN,JACKET,dummy/257/260
583,MENS,SHIRT,dummy/257/212
584,MENS,SHIRT,dummy/258/103
585,MENS,SHIRT,dummy/255/195
586,MENS,SHIRT,dummy/256/255
587,MENS,SHIRT,dummy/257/20
588,MENS,SHIRT,dummy/254/205
589,MENS,SHIRT,dummy/251/262
590,MENS,TROUSER,dummy/172/46
591,MENS,TROUSER,dummy/174/76
592,MENS,KURTA PYJAMA,dummy/244/184
593,MENS,KURTA,dummy/246/109
594,MENS,JACKET,dummy/209/1
595,MENS,TROUSER,dummy/209/887
596,MENS,JEANS,dummy/213/111
597,MENS,SHIRT,dummy/214/195
598,MENS,JACKET,dummy/216/179
599,GIRLS,FROCK,dummy/256/186
600,GIRLS,GIRLS SET,dummy/257/34
601,GIRLS,CAPRI,dummy/257/114
602,GIRLS,JEANS,dummy/258/232
603,GIRLS,LACHA,dummy/209/127
604,SUITING,SUITING,dummy/258/222
605,SUITING,SUITING,dummy/172/47
606,SUITING,SUITING,dummy/246/153
607,SUITING,SUITING,dummy/232/280
608,SUITING,SUITING,dummy/241/32
609,PARDA PC,PARDA PC,dummy/172/46
610,BOYS,T-SHIRT,dummy/251/13
611,WOOLLEN,SWEAT SHIRT,dummy/231/300
612,WOOLLEN,CAP,dummy/232/130
613,WOOLLEN,CAP,dummy/224/38
614,WOOLLEN,CAP,dummy/230/215
615,MENS,SHIRT,dummy/221/225
616,MENS,SHIRT,dummy/230/332
617,MENS,KURTA PYJAMA,dummy/236/158
618,MENS,JEANS,dummy/240/212
619,MENS,KURTA PYJAMA,dummy/221/241
620,MENS,SHIRT,dummy/229/54
621,MENS,T-SHIRT,dummy/210/143
622,MENS,SHIRT,dummy/216/60
623,MENS,SHIRT,dummy/218/101
624,MENS,SHIRT,dummy/225/88
625,MENS,SHIRT,dummy/231/90
626,MENS,JEANS,dummy/231/404
627,MENS,SHIRT,dummy/232/150
628,MENS,SHIRT,dummy/209/646
629,MENS,KURTA PYJAMA,dummy/209/770
630,MENS,SHIRT,dummy/214/166
631,MENS,JEANS,dummy/215/115
632,MENS,TROUSER,dummy/217/194
633,MENS,T-SHIRT,dummy/224/95
634,UG,UG,dummy/240/5
635,WOOLLEN,JACKET,dummy/222/66
636,WOOLLEN,JACKET,dummy/227/96
637,WOOLLEN,JACKET,dummy/219/36
638,WOOLLEN,CAP,dummy/220/113
639,WOOLLEN,CAP,dummy/226/65
640,MENS,KURTA,dummy/212/67
641,MENS,KURTA PYJAMA,dummy/222/56
642,MENS,KURTA PYJAMA,dummy/227/117
643,MENS,T-SHIRT,dummy/235/13
644,MENS,SHIRT,dummy/241/119
645,MENS,JEANS,dummy/219/2
646,MENS,SHIRT,dummy/224/63
647,MENS,JEANS,dummy/234/153
